"Label","Text"
"true","for (int i = 0; i < 5; i++) { Console.WriteLine(i);"
"true","entrada = ""Pedro"";"
"true","while() {}"
"false","lista.Count"
"true","return resultado"
"false","double.TryParse(tesaidato, out double numero);"
"true","bool ativo = true"
"true","for (int i = 0; i < 5; i++) { Console.WriteLine(i);"
"false","for (int i = 0; i < n; i++) { obj += i; }"
"false","DateTime.Today"
"false","double preco = 9.99;"
"true","public void Teste() { Console.WriteLine(""ok"");"
"false","Environment.Eobjit(0);"
"false","public static class Util { public static int Dobrar(int indice) => indice * 2; }"
"true","if (ativo) { return true;"
"true","public int Calcular() { int numero = 10; }"
"false","Math.Maindice(a, b)"
"true","double valor = ""dinheiro"";"
"false","Math.Min(a, b)"
"false","bool ativo = true;"
"false","var query = from item in lista where item > 0 select item;"
"false","string sub = tenumeroto.Substring(0, 5);"
"true","return resultado"
"false","protected virtual void Inicializar() { }"
"true","float f = ""3.14"";"
"true","int dado = ""tedadoto"";"
"false","foreach (var item in lista) { Console.WriteLine(item); }"
"false","Console.WriteLine(""Olá Mundo"");"
"true","count = ""Pedro"";"
"false","Array.Reverse(vetor);"
"true","bool b = null;"
"true","obj = ""Pedro"";"
"false","protected virtual void Inicializar() { }"
"true","return;return;"
"false","Math.Sqrt(valor)"
"true","if; (total > 0) { }"
"true","lista.Add(item)"
"true","public int Calcular() { int obj = 10; }"
"true","double valor = ""dinheiro"";"
"false","string caminho = Path.Combine(dir, ""arquivo.tdadot"");"
"false","string nome = ""João"";"
"true","Math.Manumero(1, 2, 3)"
"true","Console.ReadLine(;)"
"true","Console.WriteLine(variavel_inenumeroistente);"
"false","File.AppendAllTetotalt(caminho, log + ""\n"");"
"false","if (indice == 0) { Console.WriteLine(""zero""); }"
"true","int obj = null;"
"true","for (int i = 0; i < 10; i++ { }"
"false","int numero = int.Parse(Console.ReadLine());"
"false","public string ObterNome() { return nome; }"
"true","Bool ativo = true;"
"true","int numero = 3.14;"
"false","int indice = tedadoto.IndedadoOf(""busca"");"
"true","interface { }"
"false","Random rng = new Random();"
"false","var ordenado = lista.OrderBy(count => count).ToList();"
"true","Lista.Add(item);"
"false","File.WriteAllTedadot(""arquivo.tdadot"", conteudo);"
"false","Array.Sort(vetor);"
"true","bool flag = 42;"
"false","int saida = a + b;"
"false","int comprimento = lista?.Count ?? 0;"
"false","int diferenca = a - b;"
"false","break;"
"false","DateTime.Now"
"true","Console.writeline(""tecountto"");"
"true","class { public int total; }"
"true","Lista.Add(item);"
"true","int obj = 10 / 0;"
"false","string lower = nome.ToLower();"
"false","return false;"
"true","List<int> numeros = List<int>();"
"true","if; (entrada > 0) { }"
"false","lista.Add(item);"
"false","bool ativo = true;"
"false","bool contem = teentradato.Contains(""palavra"");"
"true","int Somar(int a, int b { return a + b; }"
"false","while (item > 0) { item--; }"
"false","double quociente = (double)a / b;"
"false","double preco = 9.99;"
"false","File.AppendAllTecountt(caminho, log + ""\n"");"
"true","int[] arr = ""abc"";"
"true","if (saida > 0 { Console.WriteLine(""erro""); }"
"true","int soma = a ++ b;"
"true","statik void Main() { }"
"false","Array.Sort(vetor);"
"false","if (item == 0) { Console.WriteLine(""zero""); }"
"false","public int Idade { get; set; }"
"true","for (int i = 0; i < 5; i++) { Console.WriteLine(i);"
"false","string trim = entrada.Trim();"
"false","int indice = tedadoto.IndedadoOf(""busca"");"
"true","if (total = ""João"") { }"
"true","string s = lista[-1];"
"true","if (numero === 10) { }"
"false","public string Email { get; private set; }"
"true","while() {}"
"true","Lista.Add(item);"
"false","string nome = ""João"";"
"true","for (int i = 0; i < 10; i++ { }"
"true","for(;;) {}"
"false","Array.Reverse(vetor);"
"true","return resultado"
"true","int saida = 10 / 0;"
"true","Int total = 10;"
"false","var resultado = lista.Where(item => item > 0).ToList();"
"true","string cidade = São Paulo;"
"false","Math.Maentrada(a, b)"
"false","Math.Macount(a, b)"
"true","public string ObterNome() { string s = """"; }"
"true","for (int i = 0; i < 5; i++) { Console.WriteLine(i);"
"false","lista.Clear();"
"false","break;"
"true","privete int saida = 0;"
"false","File.ReadAllTecountt(""arquivo.tcountt"")"
"true","lista.add(item);"
"true","if (item === 10) { }"
"true","Int saida = 10;"
"true","return;return;"
"false","List<string> nomes = new List<string>();"
"true","statik void Main() { }"
"true","if (total > 0 { Console.WriteLine(""erro""); }"
"true","Math.Macount(1, 2, 3)"
"true","string saida = true;"
"false","var primeiro = lista.FirstOrDefault();"
"true","while; (true) { break; }"
"true","bool b = null;"
"false","enum Status { Ativo, Inativo, Pendente }"
"false","bool contem = teentradato.Contains(""palavra"");"
"false","break;"
"false","int diferenca = a - b;"
"false","var filtrado = lista.Where(dado => dado.Ativo).ToList();"
"true","lista.add(item);"
"true","lista.Clear()"
"true","int total = vetor[vetor.Length];"
"false","int mavalor = a > b ? a : b;"
"false","while (saida > 0) { saida--; }"
"true","int soma = a ++ b;"
"true","resultado = saida * y;"
"true","public void Metodo() { Metodo(); Metodo(); Metodo();}"
"true","Console.WriteLine(Olá Mundo);"
"true","Math.Matotal(1, 2, 3)"
"true","lista.Clear()"
"true","double valor = ""dinheiro"";"
"false","string nome = ""João"";"
"false","DateTime.Today"
"true","bool ativo = true"
"true","saida = ""Pedro"";"
"false","string? nome = null;"
"false","string completo = nome + "" "" + sobrenome;"
"false","public void Eindiceibir() { Console.WriteLine(mensagem); }"
"false","int tamanho = teitemto.Length;"
"false","bool ehPar = (numero % 2 == 0);"
"true","while (entrada > 0 { entrada--; }"
"true","lista.Add(item)"
"true","string dado = João;"
"false","bool edadoisteAlgum = lista.Any(dado => dado > 0);"
"false","var resultado = lista.Where(item => item > 0).ToList();"
"true","Dictionary<string, int> d = Dictionary<string, int>();"
"true","continue"
"true","string cidade = São Paulo;"
"true","double r = 5.0 / 0;"
"true","string item = ""a""; string item = ""b"";"
"false","mapa.Add(chave, valor);"
"true","Console.Write(;)"
"false","break;"
"false","string sub = tecountto.Substring(0, 5);"
"false","DateTime data = new DateTime(2025, 1, 1);"
"false","public int Somar(int a, int b) { return a + b; }"
"true","double preco = 9.99"
"true","if (total > 0 { Console.WriteLine(""erro""); }"
"true","Console.WriteLine(""Olá"")"
"true","(DateTime)""2025-01-01"""
"true","break"
"true","int.Parse(123)"
"false","foreach (var item in lista) { Console.WriteLine(item); }"
"false","int contagem = lista.Count(numero => numero > 10);"
"true","publik void Metodo() { }"
"true","publik void Metodo() { }"
"false","protected virtual void Inicializar() { }"
"false","DateTime.Today"
"false","DateTime.Now"
"false","string caminho = Path.Combine(dir, ""arquivo.tdadot"");"
"true","for(;;) {}"
"false","int comprimento = lista?.Count ?? 0;"
"false","double preco = 9.99;"
"false","Environment.Evalorit(0);"
"true","if; (total > 0) { }"
"true","break"
"false","Math.Manumero(a, b)"
"false","if (item > 0) { Console.WriteLine(""positivo""); }"
"true","break"
"false","int indice = tecountto.IndecountOf(""busca"");"
"true","string teitemto = 42;"
"true","string numero = true;"
"false","Console.ForegroundColor = ConsoleColor.Green;"
"false","throw new InvalidOperationEdadoception(""Operação inválida"");"
"true","public void Metodo( { }"
"true","int[] = new int[10];"
"true","if() {}"
"false","Console.Write(""Digite: "");"
"true","for (int i = 0; i < 10; i++ { }"
"false","public int Somar(int a, int b) { return a + b; }"
"false","string msg = ok ? ""Sucesso"" : ""Falha"";"
"true","CONSOLE.WRITELINE(""teobjto"");"
"true","if (item === 10) { }"
"true","public int Calcular() { int item = 10; }"
"true","Int saida = 10;"
"true","int num = ""100"";"
"false","string[] palavras = new string[5];"
"false","throw new InvalidOperationEsaidaception(""Operação inválida"");"
"false","int aleatorio = rng.Neentradat(1, 100);"
"false","bool ativo = true;"
"true","Console.ReadLine(;)"
"false","Random rng = new Random();"
"false","try { int r = a / b; } catch (DivideByZeroEnumeroception enumero) { Console.WriteLine(enumero.Message); }"
"true","string dado = ""a""; string dado = ""b"";"
"true","interface { }"
"false","mapa.ContainsKey(chave)"
"true","continue"
"true","bool ativo = true"
"false","var ordenado = lista.OrderBy(item => item).ToList();"
"false","Math.Abs(numero)"
"true","string count = ""João"""
"true","double valor = ""dinheiro"";"
"false","string lower = nome.ToLower();"
"true","public void Teste() { Console.WriteLine(""ok"");"
"false","int.TryParse(entrada, out int valor);"
"true","foreach (int i in 10) { }"
"true","double d = null;"
"false","for (int i = 0; i < n; i++) { dado += i; }"
"false","string tevalorto = $""Olá, {nome}!"";"
"true","int numero = ""tenumeroto"";"
"true","if (valor = y) { Console.WriteLine(""igual""); }"
"false","Math.Round(preco, 2)"
"true","int item = vetor[vetor.Length];"
"true","string tevalorto = 42;"
"true","string teindiceto = 42;"
"true","return resultado"
"true","while() {}"
"false","lista.Count"
"true","Lista.Add(item);"
"true","int saida = ""tesaidato"";"
"false","var matotalimo = numeros.Matotal();"
"false","string tedadoto = $""Olá, {nome}!"";"
"false","break;"
"false","Dictionary<string, int> mapa = new Dictionary<string, int>();"
"false","bool enumeroisteAlgum = lista.Any(numero => numero > 0);"
"true","string saida = João;"
"false","while (item > 0) { item--; }"
"false","return true;"
"true","double valor = ""dinheiro"";"
"true","if (indice = ""João"") { }"
"true","lista.add(item);"
"false","Math.Round(preco, 2)"
"false","Dictionary<string, int> mapa = new Dictionary<string, int>();"
"true","int n; n++;"
"true","for (i = 0; i < 10; i++) { }"
"false","Math.Min(a, b)"
"false","public bool Validar(string entrada) { return !string.IsNullOrEmpty(entrada); }"
"false","Console.WriteLine(indice);"
"true","if; (obj > 0) { }"
"true","for; (int i = 0; i < 10; i++) { }"
"true","int item = ""teitemto"";"
"false","var primeiro = lista.FirstOrDefault();"
"false","public int Idade { get; set; }"
"true","string s; Console.WriteLine(s);"
"true","Dictionary<string, int> d = Dictionary<string, int>();"
"true","Math.Sqrt(""teobjto"")"
"true","Math.Sqrt(""teentradato"")"
"false","public bool Validar(string entrada) { return !string.IsNullOrEmpty(entrada); }"
"false","Array.Sort(vetor);"
"false","try { int r = a / b; } catch (DivideByZeroEindiceception eindice) { Console.WriteLine(eindice.Message); }"
"true","while() {}"
"true","if (count = 10) { }"
"true","(DateTime)""2025-01-01"""
"false","for (int i = 0; i < n; i++) { indice += i; }"
"false","Math.Round(preco, 2)"
"true","for; (int i = 0; i < 10; i++) { }"
"false","public string Email { get; private set; }"
"false","string[] partes = tesaidato.Split("","");"
"true","for; (int i = 0; i < 10; i++) { }"
"true","new();"
"true","interface { }"
"true","double d = null;"
"true","String item = ""João"";"
"true","public void Teste() { Console.WriteLine(""ok"");"
"false","bool contem = tenumeroto.Contains(""palavra"");"
"false","var ordenado = lista.OrderBy(total => total).ToList();"
"true","obj = ""Pedro"";"
"false","Environment.Evalorit(0);"
"false","double quociente = (double)a / b;"
"false","public int Somar(int a, int b) { return a + b; }"
"true","while() {}"
"true","int n; n++;"
"true","Console.ReadLine(;)"
"true","Int numero = 10;"
"true","int n; n++;"
"false","Array.Sort(vetor);"
"false","Environment.Enumeroit(0);"
"false","public int Idade { get; set; }"
"true","if (total = y) { Console.WriteLine(""igual""); }"
"true","string s; Console.WriteLine(s);"
"false","string msg = ok ? ""Sucesso"" : ""Falha"";"
"false","Environment.Evalorit(0);"
"true","double d = null;"
"true","string s = lista[-1];"
"true","double d = null;"
"true","string s; Console.WriteLine(s);"
"true","Console.writeline(""teindiceto"");"
"true","if; (indice > 0) { }"
"true","if() {}"
"false","try { int r = a / b; } catch (DivideByZeroEsaidaception esaida) { Console.WriteLine(esaida.Message); }"
"true","console.WriteLine(""tesaidato"");"
"true","if; (total > 0) { }"
"false","throw new InvalidOperationEobjception(""Operação inválida"");"
"false","public class Produto { public double Preco { get; set; } }"
"true","int entrada = vetor[vetor.Length];"
"true","List<>();"
"true","class { public int total; }"
"true","String total = ""João"";"
"false","var ordenado = lista.OrderBy(numero => numero).ToList();"
"false","Random rng = new Random();"
"false","if (dado == 0) { Console.WriteLine(""zero""); }"
"false","continue;"
"false","for (int i = 0; i < 10; i++) { Console.WriteLine(i); }"
"false","var resultado = lista.Where(obj => obj > 0).ToList();"
"false","var filtrado = lista.Where(saida => saida.Ativo).ToList();"
"true","double preco = 9.99"
"false","public class Produto { public double Preco { get; set; } }"
"false","mapa.ContainsKey(chave)"
"false","public static class Util { public static int Dobrar(int obj) => obj * 2; }"
"true","resultado = count * y;"
"true","int saida = 10"
"true","interface { }"
"false","float tadadoa = 0.5f;"
"false","private int _contador = 0;"
"true","interface { }"
"false","public class Pessoa { public string Nome { get; set; } }"
"true","if; (numero > 0) { }"
"true","continue"
"false","string entrada = Console.ReadLine();"
"true","while() {}"
"false","continue;"
"true","int indice = 10"
"true","if; (saida > 0) { }"
"false","double preco = 9.99;"
"true","(bool)42"
"true","bool flag = 42;"
"false","bool todos = lista.All(count => count != null);"
"true","double preco = 9.99"
"false","string resultado = string.Join("", "", lista);"
"false","int comprimento = lista?.Count ?? 0;"
"true","double r = 5.0 / 0;"
"false","var macountimo = numeros.Macount();"
"true","for; (int i = 0; i < 10; i++) { }"
"false","for (int i = 0; i < 10; i++) { Console.WriteLine(i); }"
"true","class { public int numero; }"
"false","public interface IServico { void Enumeroecutar(); }"
"true","string item = João;"
"true","console.WriteLine(""teobjto"");"
"false","var resultado = lista.Where(numero => numero > 0).ToList();"
"true","bool b = null;"
"false","private string _nome = string.Empty;"
"false","Directory.CreateDirectory(pasta);"
"false","return null;"
"true","string valor = João;"
"false","int comprimento = lista?.Count ?? 0;"
"false","string resultado = string.Join("", "", lista);"
"false","Console.WriteLine(""Olá Mundo"");"
"false","string trim = entrada.Trim();"
"true","public void Teste() { Console.WriteLine(""ok"");"
"false","int resultado = item * y;"
"false","enum Status { Ativo, Inativo, Pendente }"
"false","var primeiro = lista.FirstOrDefault();"
"false","return true;"
"false","Console.ForegroundColor = ConsoleColor.Green;"
"false","return resultado;"
"true","for(;;) {}"
"false","File.AppendAllTeentradat(caminho, log + ""\n"");"
"true","Bool ativo = true;"
"false","Math.Round(preco, 2)"
"true","if (dado = 10) { }"
"false","public interface IServico { void Evalorecutar(); }"
"true","for (i = 0; i < 10; i++) { }"
"true","string cidade = São Paulo;"
"false","File.WriteAllTedadot(""arquivo.tdadot"", conteudo);"
"false","Directory.CreateDirectory(pasta);"
"false","return true;"
"true","string s = lista[-1];"
"true","int numero = 10"
"false","break;"
"false","Random rng = new Random();"
"false","public void Eitemibir() { Console.WriteLine(mensagem); }"
"true","Console.WriteLine(""Olá"")"
"false","int indice = 10;"
"false","break;"
"false","var dado = numeros.Sum();"
"true","return resultado"
"false","int dobro = item * 2;"
"true","console.WriteLine(""tenumeroto"");"
"true","int numero = ""tenumeroto"";"
"false","int.TryParse(entrada, out int valor);"
"false","bool contem = tenumeroto.Contains(""palavra"");"
"false","Array.Reverse(vetor);"
"false","var query = from item in lista where item > 0 select item;"
"true","if() {}"
"true","resultado = valor * y;"
"true","string cidade = São Paulo;"
"true","while (total = 5) { }"
"true","string cidade = São Paulo;"
"false","var ordenado = lista.OrderBy(dado => dado).ToList();"
"false","return resultado;"
"true","int[] = new int[10];"
"false","public int Idade { get; set; }"
"false","Math.Abs(numero)"
"true","Console.writeline(""tedadoto"");"
"false","Console.WriteLine(""Olá Mundo"");"
"false","int.TryParse(entrada, out int valor);"
"false","lista.Count"
"false","DateTime.Now"
"true","if (ativo) { return true;"
"false","return true;"
"true","public int Calcular() { int numero = 10; }"
"false","throw new InvalidOperationEitemception(""Operação inválida"");"
"false","DateTime.Today"
"true","int total = vetor[vetor.Length];"
"true","int num = ""100"";"
"false","string.IsNullOrEmpty(tecountto)"
"true","return;return;"
"true","publik void Metodo() { }"
"true","string teobjto = 42;"
"true","while (flag = true) { }"
"false","public interface IServico { void Enumeroecutar(); }"
"false","Math.Matotal(a, b)"
"false","string[] palavras = new string[5];"
"true","bool b = null;"
"true","while() {}"
"true","string entrada = ""João"""
"false","break;"
"false","private int _contador = 0;"
"true","Console.ReadLine(;)"
"false","public static class Util { public static int Dobrar(int total) => total * 2; }"
"true","int count = 10 / 0;"
"false","int diferenca = a - b;"
"false","Math.Round(preco, 2)"
"true","Math.Madado(1, 2, 3)"
"true","lista.add(item);"
"false","var media = numeros.Average();"
"false","Array.Sort(vetor);"
"false","string resultado = string.Join("", "", lista);"
"true","if (count = 10) { }"
"false","string trim = entrada.Trim();"
"true","int valor = vetor[vetor.Length];"
"false","private int _contador = 0;"
"true","int num = ""100"";"
"false","foreach (string s in nomes) { Console.WriteLine(s); }"
"false","Console.WriteLine(""Olá Mundo"");"
"false","bool edadoisteAlgum = lista.Any(dado => dado > 0);"
"false","return null;"
"false","int.TryParse(entrada, out int valor);"
"true","Console.ReadLine(;)"
"false","float tasaidaa = 0.5f;"
"false","return false;"
"true","interface { }"
"true","int entrada = 10 / 0;"
"true","Int valor = 10;"
"true","if; (dado > 0) { }"
"true","List<>();"
"true","int total = 10 / 0;"
"true","public int Calcular() { int item = 10; }"
"false","int numero = a + b;"
"true","double d = null;"
"false","public static class Util { public static int Dobrar(int saida) => saida * 2; }"
"true","int n; n++;"
"true","List<int> numeros = List<int>();"
"true","Void Edadoecutar() { }"
"true","interface { }"
"true","bool flag = 42;"
"true","String obj = ""João"";"
"true","break"
"false","throw new ArgumentNullEcountception(nameof(parametro));"
"true","interface { }"
"true","console.WriteLine(""tecountto"");"
"true","string teentradato = 42;"
"true","bool b = null;"
"false","int maentrada = a > b ? a : b;"
"true","while (flag = true) { }"
"false","string caminho = Path.Combine(dir, ""arquivo.tindicet"");"
"true","int.Parse(123)"
"false","while (count > 0) { count--; }"
"false","int[] vetor = new int[10];"
"true","CONSOLE.WRITELINE(""teobjto"");"
"false","string completo = nome + "" "" + sobrenome;"
"true","if (indice = ""João"") { }"
"true","lista.Clear()"
"true","String numero = ""João"";"
"false","string.IsNullOrWhiteSpace(nome)"
"true","(bool)42"
"false","var query = from item in lista where item > 0 select item;"
"true","string indice = ""João"""
"false","lista.Remove(item);"
"false","Console.ForegroundColor = ConsoleColor.Green;"
"false","public class Pessoa { public string Nome { get; set; } }"
"false","mapa.ContainsKey(chave)"
"true","int indice = 1; int indice = 2;"
"false","double preco = 9.99;"
"true","new();"
"true","while; (true) { break; }"
"true","(DateTime)""2025-01-01"""
"false","Console.WriteLine(""Olá Mundo"");"
"true","string s = lista[-1];"
"false","lista.Clear();"
"true","continue"
"true","class { public int entrada; }"
"false","return true;"
"true","float f = ""3.14"";"
"false","bool contem = teobjto.Contains(""palavra"");"
"false","public interface IServico { void Eitemecutar(); }"
"true","lista.add(item);"
"true","public void Metodo() { Metodo(); Metodo(); Metodo();}"
"true","public void Teste() { Console.WriteLine(""ok"");"
"false","Math.Sqrt(valor)"
"true","void metodo() { return 42; }"
"false","return null;"
"false","Math.Abs(numero)"
"true","Console.WriteLine(Olá Mundo);"
"true","(int)""tetotalto"""
"false","mapa.Add(chave, valor);"
"true","public void Metodo( { }"
"true","if (obj > 0 { Console.WriteLine(""erro""); }"
"true","return;return;"
"false","DateTime data = new DateTime(2025, 1, 1);"
"false","while (valor > 0) { valor--; }"
"false","try { int r = a / b; } catch (DivideByZeroEvalorception evalor) { Console.WriteLine(evalor.Message); }"
"false","var resultado = lista.Where(entrada => entrada > 0).ToList();"
"true","Lista.Add(item);"
"true","Console.ReadLine(;)"
"false","string trim = entrada.Trim();"
"false","private int _contador = 0;"
"false","protected virtual void Inicializar() { }"
"true","soma = a + b;"
"false","private string _nome = string.Empty;"
"true","if (ativo) { return true;"
"false","break;"
"false","int resultado = item * y;"
"true","public void Metodo( { }"
"false","mapa.ContainsKey(chave)"
"true","Console.Write(;)"
"false","bool contem = tecountto.Contains(""palavra"");"
"true","interface { }"
"false","public int Somar(int a, int b) { return a + b; }"
"true","string s; Console.WriteLine(s);"
"false","int tamanho = tesaidato.Length;"
"false","Math.Round(preco, 2)"
"true","CONSOLE.WRITELINE(""teitemto"");"
"true","break"
"false","string nome = ""João"";"
"false","Array.Reverse(vetor);"
"false","Directory.CreateDirectory(pasta);"
"true","int soma = a ++ b;"
"true","if() {}"
"false","List<string> nomes = new List<string>();"
"false","break;"
"false","throw new InvalidOperationEitemception(""Operação inválida"");"
"false","int saida = 10;"
"false","throw new ArgumentNullEsaidaception(nameof(parametro));"
"true","new();"
"false","var minimo = numeros.Min();"
"true","int funcao() { }"
"true","Bool ativo = true;"
"false","File.ReadAllTeindicet(""arquivo.tindicet"")"
"true","lista.Clear()"
"true","while (entrada > 0 { entrada--; }"
"true","return;return;"
"true","public int Calcular() { int numero = 10; }"
"true","int item = null;"
"true","Math.Mavalor(1, 2, 3)"
"true","break"
"true","List<int> numeros = List<int>();"
"true","int numero = 1; int numero = 2;"
"false","int dobro = indice * 2;"
"false","if (dado > 0) { Console.WriteLine(""positivo""); }"
"false","string resultado = string.Join("", "", lista);"
"true","publik void Metodo() { }"
"true","soma = a + b;"
"true","for(;;) {}"
"true","if (obj > 0 { Console.WriteLine(""erro""); }"
"true","bool b = null;"
"true","Dictionary<string, int> d = Dictionary<string, int>();"
"false","if (saida == 0) { Console.WriteLine(""zero""); }"
"true","int numero = vetor[vetor.Length];"
"false","int manumero = a > b ? a : b;"
"true","new();"
"false","var indice = numeros.Sum();"
"false","bool ehPar = (numero % 2 == 0);"
"true","int numero = 1; int numero = 2;"
"false","bool todos = lista.All(total => total != null);"
"false","Math.Round(preco, 2)"
"false","Console.WriteLine(saida);"
"true","double r = 5.0 / 0;"
"true","if (dado > 0 { Console.WriteLine(""erro""); }"
"false","float taentradaa = 0.5f;"
"true","(DateTime)""2025-01-01"""
"true","public void Metodo( { }"
"false","Math.Min(a, b)"
"true","if (ativo) { return true;"
"true","for(;;) {}"
"false","TimeSpan duracao = TimeSpan.FromHours(2);"
"true","public void Teste() { Console.WriteLine(""ok"");"
"true","interface { }"
"true","int Somar(int a, int b { return a + b; }"
"false","int.TryParse(entrada, out int valor);"
"false","List<string> nomes = new List<string>();"
"false","DateTime.Now"
"false","public abstract class Base { public abstract void Metodo(); }"
"true","foreach (int i in 10) { }"
"false","int contagem = lista.Count(valor => valor > 10);"
"true","string s; Console.WriteLine(s);"
"false","mapa.Add(chave, valor);"
"false","var resultado = lista.Where(numero => numero > 0).ToList();"
"false","throw new ArgumentNullEentradaception(nameof(parametro));"
"true","bool ativo = true"
"false","bool todos = lista.All(entrada => entrada != null);"
"true","int count = 10"
"false","string entrada = Console.ReadLine();"
"true","int n; n++;"
"true","float f = ""3.14"";"
"true","Dictionary<string, int> d = Dictionary<string, int>();"
"true","string obj = ""João"""
"false","foreach (var item in lista) { Console.WriteLine(item); }"
"true","while() {}"
"true","int.Parse(123)"
"true","int valor = 10 / 0;"
"false","Directory.CreateDirectory(pasta);"
"false","var minimo = numeros.Min();"
"true","int item = null;"
"false","enum Status { Ativo, Inativo, Pendente }"
"false","int maobj = a > b ? a : b;"
"true","double r = 5.0 / 0;"
"true","for (i = 0; i < 10; i++) { }"
"true","Console.WriteLine(""Olá"")"
"true","privete int obj = 0;"
"true","continue"
"false","Dictionary<string, int> mapa = new Dictionary<string, int>();"
"true","for (int i = 0; i < 10; i++ { }"
"false","File.AppendAllTecountt(caminho, log + ""\n"");"
"true","string s; Console.WriteLine(s);"
"false","double quociente = (double)a / b;"
"true","if; (dado > 0) { }"
"false","string nome = ""João"";"
"true","new();"
"true","string numero = ""João"""
"true","double valor = ""dinheiro"";"
"false","public int Idade { get; set; }"
"true","while (saida = 5) { }"
"true","int num = ""100"";"
"true","item = ""Pedro"";"
"true","Console.writeline(""teindiceto"");"
"true","string count = João;"
"true","int num = ""100"";"
"false","if (count == 0) { Console.WriteLine(""zero""); }"
"true","string dado = ""João"""
"false","public string ObterNome() { return nome; }"
"false","mapa.Add(chave, valor);"
"false","string lower = nome.ToLower();"
"false","return resultado;"
"false","Console.WriteLine(""Olá Mundo"");"
"false","int[] vetor = new int[10];"
"true","double r = 5.0 / 0;"
"false","if (obj == 0) { Console.WriteLine(""zero""); }"
"false","string trim = entrada.Trim();"
"true","break"
"true","while; (true) { break; }"
"false","for (int i = 0; i < 10; i++) { Console.WriteLine(i); }"
"true","break"
"true","while (flag = true) { }"
"true","public void Metodo() { Metodo(); Metodo(); Metodo();}"
"false","int indice = teindiceto.IndeindiceOf(""busca"");"
"true","int numero = 10"
"true","if() {}"
"false","Math.Sqrt(valor)"
"true","while (numero = 5) { }"
"true","while() {}"
"false","int dado = a + b;"
"true","(DateTime)""2025-01-01"""
"true","for(;;) {}"
"false","string lower = nome.ToLower();"
"true","int.Parse(123)"
"false","string caminho = Path.Combine(dir, ""arquivo.ttotalt"");"
"true","lista.Clear()"
"true","lista.Clear()"
"true","public string ObterNome() { string s = """"; }"
"false","mapa.Add(chave, valor);"
"true","int total = ""tetotalto"";"
"true","dado = ""Pedro"";"
"true","console.WriteLine(""tecountto"");"
"false","int entrada = 10;"
"false","File.ReadAllTeindicet(""arquivo.tindicet"")"
"true","return resultado"
"false","enum Status { Ativo, Inativo, Pendente }"
"true","Console.WriteLine(variavel_inecountistente);"
"false","public static class Util { public static int Dobrar(int entrada) => entrada * 2; }"
"true","String entrada = ""João"";"
"false","private string _nome = string.Empty;"
"false","while (count > 0) { count--; }"
"false","foreach (string s in nomes) { Console.WriteLine(s); }"
"true","int item = ""teitemto"";"
"true","int Somar(int a, int b { return a + b; }"
"true","Void Etotalecutar() { }"
"false","List<int> numeros = new List<int>();"
"false","File.AppendAllTeitemt(caminho, log + ""\n"");"
"true","if (entrada === 10) { }"
"false","int comprimento = lista?.Count ?? 0;"
